ts_utc,open,high,low,close,adj_close,volume
2025-01-01T00:00:00+00:00,135.0439,139.1362,133.6798,136.408,136.408,1286
2025-01-02T00:00:00+00:00,134.9089,138.997,133.5462,136.2716,136.2716,1287
2025-01-03T00:00:00+00:00,134.2343,138.302,132.8784,135.5902,135.5902,1288
2025-01-04T00:00:00+00:00,133.0262,137.0573,131.6825,134.3699,134.3699,1289
2025-01-05T00:00:00+00:00,134.0904,138.1538,132.736,135.4449,135.4449,1290
2025-01-06T00:00:00+00:00,134.6268,138.7064,133.2669,135.9867,135.9867,1291
2025-01-07T00:00:00+00:00,134.6268,138.7064,133.2669,135.9867,135.9867,1292
2025-01-08T00:00:00+00:00,134.0883,138.1516,132.7339,135.4427,135.4427,1293
2025-01-09T00:00:00+00:00,133.0156,137.0464,131.672,134.3592,134.3592,1294
2025-01-10T00:00:00+00:00,134.2127,138.2798,132.857,135.5684,135.5684,1295
2025-01-11T00:00:00+00:00,134.8838,138.9712,133.5213,136.2462,136.2462,1296
2025-01-12T00:00:00+00:00,135.0187,139.1101,133.6548,136.3825,136.3825,1297
2025-01-13T00:00:00+00:00,134.6136,138.6928,133.2539,135.9733,135.9733,1298
2025-01-14T00:00:00+00:00,133.6713,137.722,132.3211,135.0215,135.0215,1299
2025-01-15T00:00:00+00:00,135.008,139.0992,133.6443,136.3717,136.3717,1300
2025-01-16T00:00:00+00:00,135.8181,139.9338,134.4462,137.19,137.19,1301
2025-01-17T00:00:00+00:00,136.0897,140.2136,134.7151,137.4644,137.4644,1302
2025-01-18T00:00:00+00:00,135.8175,139.9332,134.4456,137.1894,137.1894,1303
2025-01-19T00:00:00+00:00,135.0026,139.0936,133.639,136.3663,136.3663,1304
2025-01-20T00:00:00+00:00,133.6526,137.7027,132.3026,135.0026,135.0026,1305
